curriculum_version,path_id,path_title,unit_sort_order,unit_id,unit_title,unit_description,unit_badge,phase_key,phase_title,is_review,is_phase_review,lesson_count,word_count,phrase_count,words
6.0.0,path1,Learn ASL,1,p1-u01,Getting Started,"Your first signs, greetings, and introductions.",Starter,first_conversations,First Conversations,False,False,3,17,7,"hello, thankyou, bye, please, sorry, welcome, congratulations, oops, very, much, thankyouverymuch, yourewelcome, nice, meet, you, how, are, my, name, mynameis, nicetomeetyou, howareyou, imfine, signslow"
6.0.0,path1,Learn ASL,2,p1-u02,Everyday Replies,"Yes, no, and everyday responses.",Chatty,first_conversations,First Conversations,False,False,3,11,8,"yes, no, ok, sure, really, wow, dontknow, notyet, samehere, excuseme, seeyoulater, have, havegoodday, signagain, nicetoseeyou, alright, cool, awesome, funny"
6.0.0,path1,Learn ASL,3,p1-u03,You & Me,Pronouns and possessives.,Subject,first_conversations,First Conversations,False,False,3,12,1,"i, you, we, he, she, they, my, your, our, his, their, name, mynameis"
6.0.0,path1,Learn ASL,4,p1-u73,Getting Help,"Ask for help, clarity, and safety.",Survival,first_conversations,First Conversations,False,False,3,13,9,"again, wait, need, slow, help, understand, idontunderstand, ineedhelp, canyouhelpme, pleasehelpme, little, repeat, that, call, nineoneone, isignalittle, canyourepeatthat, pleasesignslower, call911, howyousignthat, police, emergency"
6.0.0,path1,Learn ASL,5,p1-u06,Feelings & Emotions,How you feel and express personality.,Mood,first_conversations,First Conversations,False,False,3,26,10,"fine, good, great, bad, happy, sad, tired, angry, scared, excited, worry, nervous, imgood, goodmorning, goodnight, imtired, imhappy, imsad, imangry, imscared, imexcited, imnervous, bored, lonely, jealous, embarrass, frustrate, surprise, confident, humble, lazy, stubborn, curious, serious, remember, forget"
6.0.0,path1,Learn ASL,6,p1-u05,Meet People,"Introductions, questions, and phrases.",Introducer,first_conversations,First Conversations,False,False,3,18,8,"person, people, myself, yourself, sign, nice, meet, introduce, what, where, when, who, why, how, which, many, whatisyourname, whatsthat, whatdoesthatmean, howmany, whereareyou, from, doing, whereareyoufrom, imfrom, whatareyoudoing"
6.0.0,path1,Learn ASL,7,p1-u22,Deaf Culture,ASL identity and the Deaf community.,Linguist,first_conversations,First Conversations,False,False,3,16,2,"deaf, hearing, hardofhearing, asl, signlanguage, namesign, deafculture, fluent, learnasl, practice, interpreter, caption, hearingaid, lipread, gesture, translate, whatisyournamesign, imlearningasl"
6.0.0,path1,Learn ASL,8,p1-review-first_conversations,First Conversations Checkpoint,"Show what you remember from First Conversations (Getting Started, Everyday Replies, You & Me, Getting Help, Feelings & Emotions, Meet People, Deaf Culture).",Conversation Checkpoint,first_conversations,First Conversations,True,True,1,24,44,"hello, thankyou, bye, please, sorry, welcome, congratulations, oops, very, much, nice, meet, you, how, are, my, name, yes, no, ok, sure, really, wow, have, thankyouverymuch, yourewelcome, mynameis, nicetomeetyou, howareyou, imfine, signslow, dontknow, notyet, samehere, excuseme, seeyoulater, havegoodday, signagain, nicetoseeyou, idontunderstand, ineedhelp, canyouhelpme, pleasehelpme, isignalittle, canyourepeatthat, pleasesignslower, call911, howyousignthat, imgood, goodmorning, goodnight, imtired, imhappy, imsad, imangry, imscared, imexcited, imnervous, whatisyourname, whatsthat, whatdoesthatmean, howmany, whereareyou, whereareyoufrom, imfrom, whatareyoudoing, whatisyournamesign, imlearningasl"
6.0.0,path1,Learn ASL,9,p1-u24,Everyday Actions,"Eat, move, give, and everyday verbs.",Daily,daily_life,Daily Life,False,False,3,23,4,"eat, drink, see, hear, feel, breathe, smell, want, hungry, make, get, give, take, use, find, try, doing, tell, ask, talk, think, know, believe, iwanteat, iwantdrink, imhungry, iwant"
6.0.0,path1,Learn ASL,10,p1-u23,On the Move,"Go, move, and directions.",Mover,daily_life,Daily Life,False,False,3,16,1,"go, come, walk, run, stop, turn, move, lost, imlost, here, there, left, right, up, down, near, far"
6.0.0,path1,Learn ASL,11,p1-u56,Getting There,"Commute, traffic, and vehicles.",Commuter,daily_life,Daily Life,False,False,3,18,1,"drive, ride, arrive, travel, road, street, traffic, commute, car, bus, train, airplane, bike, truck, motorcycle, boat, i, lost, imlost"
6.0.0,path1,Learn ASL,12,p1-u40,Time & Calendar,"Today, weekdays, and clock time.",Scheduler,daily_life,Daily Life,False,False,3,27,1,"today, tomorrow, now, morning, afternoon, night, monday, tuesday, wednesday, thursday, friday, saturday, sunday, weekend, holiday, yesterday, noon, day, week, month, year, hour, minute, later, early, talk, you, talktoyoulater"
6.0.0,path1,Learn ASL,13,p1-u18,Family & People,"Family, relatives, and people types.",Family,daily_life,Daily Life,False,False,3,22,0,"mother, father, sister, brother, baby, child, family, parents, grandmother, grandfather, aunt, uncle, cousin, niece, nephew, twins, man, woman, boy, girl, adult, teenager"
6.0.0,path1,Learn ASL,14,p1-u49,Friends & Holidays,"Friends, love, and celebrations.",Social,daily_life,Daily Life,False,False,3,12,1,"love, like, hate, friend, hug, kiss, ilike, party, birthday, christmas, halloween, thanksgiving, easter"
6.0.0,path1,Learn ASL,15,p1-u30,My Home,Rooms and spaces where you live.,Homemaker,daily_life,Daily Life,False,False,3,9,1,"home, house, kitchen, bathroom, bedroom, livingroom, basement, backyard, wherebathroom, garage"
6.0.0,path1,Learn ASL,16,p1-review-daily_life,Daily Life Checkpoint,"Show what you remember from Daily Life (Everyday Actions, On the Move, Getting There, Time & Calendar, Family & People, Friends & Holidays, My Home).",Daily Life Checkpoint,daily_life,Daily Life,True,True,1,24,8,"eat, drink, see, hear, feel, breathe, smell, want, hungry, make, get, give, take, use, find, try, doing, tell, ask, talk, think, know, believe, go, iwanteat, iwantdrink, imhungry, iwant, imlost, talktoyoulater, ilike, wherebathroom"
6.0.0,path1,Learn ASL,17,p1-u31,Furniture,"Tables, chairs, beds, and more.",Decorator,home_and_foundations,Home & Foundations,False,False,3,8,0,"table, chair, bed, couch, door, window, lamp, clock"
6.0.0,path1,Learn ASL,18,p1-u17,Money & Counting,"Pay, price, and number math.",Money,home_and_foundations,Home & Foundations,False,False,3,12,0,"money, pay, cost, price, 1dollar, 5dollars, half, quarter, percent, double, triple, hundred"
6.0.0,path1,Learn ASL,19,p1-u57,School & Classroom,"School life, subjects, and tools.",Scholar,home_and_foundations,Home & Foundations,False,False,3,17,1,"school, class, student, teacher, learn, study, read, write, math, science, history, art, book, pen, paper, i, learnasl, imlearningasl"
6.0.0,path1,Learn ASL,20,p1-u45,Health & Town,Wellness and places in your community.,Wellness,home_and_foundations,Home & Foundations,False,False,3,15,1,"health, exercise, doctor, nurse, hospital, medicine, shop, park, restaurant, hotel, library, church, please, help, me, pleasehelpme"
6.0.0,path1,Learn ASL,21,p1-u15,Numbers,Zero through eleven.,Counter,home_and_foundations,Home & Foundations,False,False,3,12,0,"zero, one, two, three, four, five, six, seven, eight, nine, ten, eleven"
6.0.0,path1,Learn ASL,22,p1-u10,The Alphabet,Fingerspell A through Z.,Speller,home_and_foundations,Home & Foundations,False,False,3,31,1,"alphabet, fingerspell, letter, a, b, c, d, e, f, g, h, letteri, j, k, l, m, n, o, p, q, r, s, t, u, v, w, x, y, z, my, name, mynameis"
6.0.0,path1,Learn ASL,23,p1-u32,At Home,"Morning routine, chores, and sleep.",Fresh,home_and_foundations,Home & Foundations,False,False,3,16,1,"shower, toilet, sink, soap, toothbrush, brush, comb, mirror, clean, wash, sweep, vacuum, washdishes, sleep, me, see, letmesee"
6.0.0,path1,Learn ASL,24,p1-u27,Colors,Every color and shade.,Colorist,home_and_foundations,Home & Foundations,False,False,3,16,0,"red, blue, green, yellow, orangecolor, purple, pink, brown, black, white, gray, gold, silver, dark, light, bright"
6.0.0,path1,Learn ASL,25,p1-review-home_and_foundations,Home & Foundations Checkpoint,"Show what you remember from Home & Foundations (Furniture, Money & Counting, School & Classroom, Health & Town, Numbers, The Alphabet, At Home, Colors).",Foundations Checkpoint,home_and_foundations,Home & Foundations,True,True,1,24,4,"table, chair, bed, couch, door, window, lamp, clock, money, pay, cost, price, 1dollar, 5dollars, half, quarter, percent, double, triple, hundred, school, class, student, teacher, imlearningasl, pleasehelpme, mynameis, letmesee"
6.0.0,path1,Learn ASL,26,p1-u29,Size & Amount,"Big, small, and how much.",Descriptor,describe_and_express,Describe & Express,False,False,3,13,0,"big, small, tall, hot, cold, fast, hard, almost, many, few, enough, more, less"
6.0.0,path1,Learn ASL,27,p1-u08,Connect Ideas,"And, but, because, and more.",Connector,describe_and_express,Describe & Express,False,False,3,13,0,"and, but, or, so, with, without, also, because, same, different, if, language, word"
6.0.0,path1,Learn ASL,28,p1-u42,Body & Wellness,Body parts and feeling sick.,Face,describe_and_express,Describe & Express,False,False,3,25,1,"head, face, eyes, ear, nose, mouth, teeth, tongue, body, arm, hands, finger, shoulder, neck, back, stomach, sick, hurt, pain, headache, cough, sneeze, dizzy, i, sad, imsad"
6.0.0,path1,Learn ASL,29,p1-u50,Clothes & Accessories,"Outfits, jewelry, and what you carry.",Daily Wear,describe_and_express,Describe & Express,False,False,3,24,0,"shirt, pants, dress, shoes, socks, jacket, hat, clothes, shorts, skirt, sweater, boots, gloves, scarf, belt, suit, glasses, earring, necklace, bracelet, ring, backpack, wallet, watch"
6.0.0,path1,Learn ASL,30,p1-u59,Work Life,"Jobs, bosses, and careers.",Worker,describe_and_express,Describe & Express,False,False,3,11,1,"work, job, boss, lawyer, engineer, scientist, meeting, retire, what, you, doing, whatareyoudoing"
6.0.0,path1,Learn ASL,31,p1-u69,Devices & Apps,"Phones, screens, and the internet.",Techie,describe_and_express,Describe & Express,False,False,3,16,0,"computer, phone, tablet, laptop, camera, tv, keyboard, mouse, internet, email, text, download, upload, share, send, video"
6.0.0,path1,Learn ASL,32,p1-u68,Countries,Places around the world.,Global,describe_and_express,Describe & Express,False,False,3,11,1,"america, canada, mexico, france, germany, china, japan, italy, where, you, from, whereareyoufrom"
6.0.0,path1,Learn ASL,33,p1-review-describe_and_express,Describe & Express Checkpoint,"Show what you remember from Describe & Express (Size & Amount, Connect Ideas, Body & Wellness, Clothes & Accessories, Work Life, Devices & Apps, Countries).",Expression Checkpoint,describe_and_express,Describe & Express,True,True,1,24,3,"big, small, tall, hot, cold, fast, hard, almost, many, few, enough, more, less, and, but, or, so, with, without, also, because, same, different, if, imsad, whatareyoudoing, whereareyoufrom"
6.0.0,path1,Learn ASL,34,p1-u60,Animals,"Pets, farm, and wild animals.",Pet Friend,life_and_fluency,Life & Fluency,False,False,3,16,0,"dog, cat, horse, cow, pig, sheep, rabbit, duck, lion, tiger, elephant, bear, wolf, fox, eagle, monkey"
6.0.0,path1,Learn ASL,35,p1-u63,Weather,"Rain, snow, wind, and storms.",Forecaster,life_and_fluency,Life & Fluency,False,False,3,8,0,"rain, snow, wind, cloud, lightning, thunder, hot, cold"
6.0.0,path1,Learn ASL,36,p1-u62,Nature & Seasons,Outdoors through the year.,Outdoors,life_and_fluency,Life & Fluency,False,False,3,12,0,"tree, flower, mountain, river, ocean, beach, sun, moon, spring, summer, fall, winter"
6.0.0,path1,Learn ASL,37,p1-u65,Sports,Team and solo sports.,Sporty,life_and_fluency,Life & Fluency,False,False,3,8,0,"football, basketball, baseball, soccer, volleyball, hockey, tennis, golf"
6.0.0,path1,Learn ASL,38,p1-u66,Music & Art,"Draw, sing, dance, and play.",Creative,life_and_fluency,Life & Fluency,False,False,3,7,0,"draw, paint, sing, dance, music, guitar, piano"
6.0.0,path1,Learn ASL,39,p1-u35,Fruits & Veggies,Produce basics.,Fruity,life_and_fluency,Life & Fluency,False,False,3,14,0,"apple, banana, orangefruit, grapes, strawberry, cherry, pineapple, lemon, tomato, carrot, corn, onion, potato, lettuce"
6.0.0,path1,Learn ASL,40,p1-u37,Food & Drinks,"Meals, snacks, drinks, and cooking.",Protein,life_and_fluency,Life & Fluency,False,False,3,23,1,"meat, fish, egg, cheese, milk, butter, bacon, chicken, bread, pizza, cake, chocolate, water, coffee, tea, juice, thirsty, imthirsty, breakfast, lunch, dinner, full, delicious, cook"
6.0.0,path1,Learn ASL,41,p1-u71,Everyday Sayings,Common ASL expressions and big ideas.,Thinker,life_and_fluency,Life & Fluency,False,False,3,10,7,"can, cannot, maybe, important, rightcorrect, wrong, future, always, onemoretime, nevermind, letmesee, talktoyoulater, giveup, blowmind, allofsudden, wrapup, letgo"
6.0.0,path1,Learn ASL,42,p1-review-life_and_fluency,Life & Fluency Checkpoint,"Show what you remember from Life & Fluency (Animals, Weather, Nature & Seasons, Sports, Music & Art, Fruits & Veggies, Food & Drinks, Everyday Sayings).",Fluency Checkpoint,life_and_fluency,Life & Fluency,True,True,1,24,8,"dog, cat, horse, cow, pig, sheep, rabbit, duck, lion, tiger, elephant, bear, wolf, fox, eagle, monkey, rain, snow, wind, cloud, lightning, thunder, hot, cold, imthirsty, onemoretime, letmesee, talktoyoulater, blowmind, allofsudden, wrapup, letgo"
